pl_name,pl_letter,hostname,disc_year,discoverymethod,disc_instrument,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,sy_name,pl_orbtper_systemref,pl_tranmid_systemref,st_metratio,st_rotp,pl_projobliq,pl_trandep,pl_trandur,pl_rvamp,pl_rade,pl_ratror,pl_ratdor,pl_trueobliq,st_log_rhk,st_metn,pl_imppar,pl_cmasse,pl_masse,pl_bmasse,pl_bmassprov,pl_msinie,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,sy_snum,sy_pnum,sy_mnum,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,pl_angsep,cartesian_x,cartesian_y,cartesian_z,st_spectype_cleaned,pl_type,pl_esi
WASP-12 b,b,WASP-12,2008,Transit,iKon-L CCD Camera,1.09142,272.7,0.0232,83.52,,0.0447,2592.6,,5597.87,0.267,WASP-12,,BJD-TDB,[Fe/H],,59.0,1.709,3.0408,226.4,21.712,0.117,,,,,0.339,,465.62095,465.62095,Mass,464.0318,6360.0,0.07,19.08,1.6,0.597,4.16,2.0,1.43,0.446,1.66,3,1,0,7.1348482,-1.57989,-6.95773,2.31224,427.246,0.0543,-49.303310306491355,421.70294721451455,47.69646128817252,Unknown,Gas Giants,0.04320279979745423
HAT-P-41 b,b,HAT-P-41,2012,Transit,2K CCD Sensor,2.69405,,0.04258,87.7,,0.0,1941.0,,2485.07,0.204,HAT-P-41,,BJD-TDB,[Fe/H],,-22.1,1.1,3.6552,92.5,22.978,0.1049,,,,,0.222,,378.2177,378.2177,Mass,,6390.0,0.21,31.68,19.6,0.628,4.14,2.2,2.56,0.42,2.05,2,1,0,7.1841239,-3.27913,-6.3921,2.84386,348.185,0.122,159.2677926877305,-271.59949399189156,148.66162686021752,Unknown,Gas Giants,0.04121710203188367
WASP-120 b,b,WASP-120,2016,Transit,iKon-L CCD Camera,3.6112706,-27.0,0.0514,82.54,,0.057,1880.0,,1818.55,2.0,WASP-120,BJD,BJD,[Fe/H],,,0.655,3.5592,509.0,16.511,0.0749,5.9,,,,0.78,,1541.4755,1541.4755,Mass,,6450.0,-0.05,19.84,15.1,0.675,4.04,2.6,1.39,0.299,1.87,1,1,0,6.9317107,2.37925,-6.51059,2.59467,381.174,0.135,122.01933252268644,107.22128271596672,-344.831114169619,F,Gas Giants,0.05596084900700882
WASP-58 b,b,WASP-58,2012,Transit,iKon-L CCD Camera,5.01718,,0.0562,87.4,,0.0,1270.0,,404.71,0.45,WASP-58,,BJD-TDB,[Fe/H],,,1.4,3.7363301,110.1,16.029,0.12,10.35,,,,0.46,,308.2951,308.2951,Mass,,5800.0,-0.45,-28.66,2.8,0.16,4.27,12.8,1.06,0.83,1.22,2,1,0,57.302488,32.5795,47.1397,3.41469,290.404,0.194,16.772525843123873,-105.27658662483272,270.129609449734,G,Gas Giants,0.059504025949776884
WASP-83 b,b,WASP-83,2015,Transit,iKon-L CCD Camera,4.971252,,0.059,88.9,,0.0,1120.0,,238.88,0.35,WASP-83,HJD-UTC,HJD-UTC,[Fe/H],,,1.04,3.3648,32.9,11.657,0.1006,11.98,,,,0.23,,95.349,95.349,Mass,,5510.0,0.29,31.55,0.5,-0.05,4.44,5.0,1.11,1.4,1.05,1,1,0,26.5041972,-23.1726,-12.8648,3.66066,271.103,0.218,-251.8906312611796,-76.97887147436428,-64.20435996392908,G,Gas Giants,0.08012699286274483
WASP-48 b,b,WASP-48,2011,Transit,iKon-L CCD Camera,2.14363,,0.03444,80.09,,0.0,2035.0,,3410.26,0.415,WASP-48,,BJD-TDB,[Fe/H],,,0.96,3.1539349,136.0,16.814,0.09584,4.25,,,,0.638,,254.264,254.264,Mass,,5920.0,-0.12,-19.68,12.2,0.58,4.03,7.9,0.88,0.32,1.58,1,1,0,28.635111,6.14132,-27.9688,2.17324,454.144,0.0758,92.922044053037,-71.41645244129391,438.7618451799402,Unknown,Gas Giants,0.05477777882770185
HAT-P-22 b,b,HAT-P-22,2010,Transit,2K CCD Sensor,3.21222,156.0,0.0414,86.9,,0.02,1463.0,,325.57,2.14,HAT-P-22,,BJD-TDB,[Fe/H],28.7,-2.1,1.1,2.653,313.3,12.89,0.1065,,24.0,,,0.466,,785.0401,785.0401,Mass,,5302.0,0.24,12.64,0.5,-0.114,4.36,12.4,1.13,1.16,1.11,2,1,0,87.7253495,-26.1816,83.7273,12.2014,81.7647,0.506,-47.762557057200546,44.76944160474488,48.98878859338125,G,Gas Giants,0.07249131948831389
TOI-1199 b,b,TOI-1199,2024,Transit,TESS CCD Array,3.671463,57.0,0.04988,,,0.03,1486.0,,324.11,0.358,TOI-1199,BJD,BJD,[Fe/H],23.0,,0.434,2.149,27.5,10.514,0.0663,,,-5.1,,0.849,,75.960989273,75.96099,Mass,,5710.0,0.44,,3.4,0.304,4.19,4.2,1.23,0.38551,1.45,1,1,0,33.5911969,-4.01904,-33.3499,3.9966,248.427,0.201,-115.98434411471648,111.5323403215773,189.27266921473603,Unknown,Gas Giants,0.08607894380111858
Kepler-54 c,c,Kepler-54,2012,Transit,Kepler CCD Array,12.0717249,,0.0809,89.96,,0.0,395.0,,3.07,2.376368,Kepler-54,BJD,BJD,[Fe/H],,,0.07592,4.9738,,1.23,0.02254,,,,,0.868,,2.1,2.1,Mass,,3705.0,-0.27,,,-1.301,4.75,13.8,0.51,5.0392,0.5,1,3,0,18.4991328,0.0348401,-18.4991,3.65228,271.701,0.298,83.18467557530468,-91.60263306092642,241.8898525501568,M,Super-Earth,0.6330455639703328
KELT-4 A b,b,KELT-4 A,2016,Transit,Apogee 4K CCD Sensor,2.9895932,,0.04317,83.16,,0.0,1823.0,,1840.0,0.228,KELT-4,BJD-TDB,BJD-TDB,[Fe/H],,14.0,1.187,3.46272,111.8,19.044,0.10893,5.792,,,,0.689,286.817070506925,286.68266,286.68266,Mass,284.77568,6206.0,-0.116,-23.5,6.0,0.535,4.11,4.44,1.2,0.411,1.6,3,1,0,18.6442754,14.0982,-12.2004,4.55767,218.05,0.198,-181.12952962667595,107.78176330260696,55.86579898828917,F,Gas Giants,0.04915205556284308
KELT-15 b,b,KELT-15,2016,Transit,Apogee 4K CCD Sensor,3.32944,,0.04613,88.3,,0.0,1642.0,,1612.76,0.36,KELT-15,,BJD-TDB,[Fe/H],,,1.0,4.0123108,110.0,19.504,0.1001,6.7,,,,0.2,289.352655643311,416.3573,416.3573,Mass,289.2253,6003.0,0.05,12.2,7.6,0.412,4.17,,2.06,0.51,1.78,2,1,0,5.0605882,-4.51634,-2.28303,3.05121,324.683,0.142,-91.78606148079452,60.431352459839886,-305.5199192306754,Unknown,Gas Giants,0.04817191751228855
WASP-136 b,b,WASP-136,2016,Transit,iKon-L CCD Camera,5.215357,,0.0661,84.7,,,1742.0,,1843.47,0.773,WASP-136,BJD,BJD,[Fe/H],,,0.411,5.4528,,15.468,0.0682,6.39,,,,0.59,,479.9233,479.9233,Mass,,6260.0,-0.18,11.64,13.1,0.823,3.9,3.62,1.41,0.186,2.21,1,1,0,9.9588718,2.47256,9.64705,3.60091,275.587,0.24,272.24387212130796,-15.607524727105059,-39.848134627479155,Unknown,Gas Giants,0.05933886225016005
Kepler-99 b,b,Kepler-99,2014,Transit,Kepler CCD Array,4.60358,,0.050692,89.05,,0.0,810.0,,108.04,10.9,Kepler-99,BJD,BJD,[Fe/H],,,0.04498,2.3499,2.91,1.48,0.01847,14.81,,,,0.21,,6.15,6.15,Mass,3.812566543,4782.0,0.18,-23.0,0.5,-0.585,4.61,1.47,0.79,2.86,0.73,2,1,0,3.5031534,1.3789,-3.22036,4.77039,208.369,0.243,71.92320419934731,-72.86443168531277,181.48131433807552,Unknown,Super-Earth,0.29249960515360285
