pl_name,pl_letter,hostname,disc_year,discoverymethod,disc_instrument,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,sy_name,pl_orbtper_systemref,pl_tranmid_systemref,st_metratio,st_rotp,pl_projobliq,pl_trandep,pl_trandur,pl_rvamp,pl_rade,pl_ratror,pl_ratdor,pl_trueobliq,st_log_rhk,st_metn,pl_imppar,pl_cmasse,pl_masse,pl_bmasse,pl_bmassprov,pl_msinie,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,sy_snum,sy_pnum,sy_mnum,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,pl_angsep,cartesian_x,cartesian_y,cartesian_z,st_spectype_cleaned,pl_type,pl_esi
OGLE-2016-BLG-1227L b,b,OGLE-2016-BLG-1227L,2020,Microlensing,OGLE CCD Array,,,3.4,,,,,,,0.512,OGLE-2016-BLG-1227L,,,,,,,,,13.9,,,,,,,,250.0,250.0,Mass,,,,,,,,,0.1,,,1,1,0,,,,,,,,,,Unknown,Gas Giants,
Kepler-276 c,c,Kepler-276,2013,Transit,Kepler CCD Array,31.884,,0.1994,86.92,,0.0,563.0,,19.79,3.74,Kepler-276,,BJD,[Fe/H],,,0.091,5.099,,2.9,0.02815,17.44,,,,0.3966,,16.6,16.6,Mass,,5779.0,0.02,,,-0.089,4.46,0.4,1.1,1.73156,1.03,1,3,0,8.0702604,7.99553,1.09572,0.846215,1144.86,0.174,355.56467767471713,-461.01267616432307,985.7715211984384,Unknown,Super-Earth,0.2739841190314143
Kepler-829 b,b,Kepler-829,2016,Transit,Kepler CCD Array,6.88337562,,0.0678,89.82,,0.0,857.0,,247.47,2.98,Kepler-829,JD,JD,[Fe/H],,,0.04584,2.2442,,2.11,0.02013,23.559,,,,0.075,,,5.1,M-R relationship,,5698.0,0.03,,,0.04,4.46,4.68,0.98,5.22062,0.97,1,1,0,8.3089089,7.93777,-2.45556,0.902722,1073.76,0.0631,169.18853411060078,-421.6250079973307,972.9173295592781,Unknown,Super-Earth,0.254562783311452
Kepler-477 b,b,Kepler-477,2016,Transit,Kepler CCD Array,11.11990653,,0.0911,87.75,,0.0,649.0,,38.71,3.06,Kepler-477,JD,JD,[Fe/H],,,0.06363,3.3296,,2.07,0.02398,19.7,,,,0.68,,,4.94,M-R relationship,,5240.0,-0.04,,,-0.372,4.58,2.09,0.87,1.44556,0.79,2,1,0,26.7,-26.0,-6.0,,367.0,0.248,84.11089835762105,-138.20425469820657,329.4145424245675,Unknown,Super-Earth,0.2847089951074995
TOI-1260 c,c,TOI-1260,2021,Transit,TESS CCD Array,7.493134,0.0,0.0657,87.97,,0.0,651.0,,29.81,3.45,TOI-1260,BJD,BJD,[Fe/H],30.63,,0.1421,1.97,5.67,2.76,0.0377,20.99,,-4.86,,0.75,,13.2,13.2,Mass,,4227.0,-0.1,,1.5,-0.889,4.57,6.7,0.68,3.43,0.67,1,3,0,195.1902747,-177.236,-81.7719,13.5585,73.5977,0.893,-27.739569508069028,37.44461387226559,56.96524046077523,K,Super-Earth,0.2605780924087995
HD 149143 b,b,HD 149143,2005,Radial Velocity,ELODIE Spectrograph,4.07182,217.0,0.053,,2463199.12,0.0167,,,,0.923,HD 149143,JD,JD,[Fe/H],,,,,150.3,13.6,,,,,,,,,422.7139,Msini,422.7139,5856.0,0.29,12.06,3.9,0.35,4.25,4.28,1.2,0.28619,1.44,1,1,0,87.2392449,-9.32815,-86.7391,13.6179,73.2801,0.723,-27.180823067670655,-61.329037489401614,29.494492265464654,G,Gas Giants,
HD 99492 b,b,HD 99492,2004,Radial Velocity,HIRES Spectrometer,17.0503,154.3,0.12,,2450468.7,0.034,,,,0.87,HD 99492,,BJD,[Fe/H],,,,,7.05,5.44,,,,-4.93,,,,,25.5,Msini,25.5,4929.0,0.3,3.1,0.41,-0.475,4.57,4.8,0.85,2.83673,0.82,2,2,0,752.2828201,-728.277,188.526,54.9057,18.2038,6.59,-17.987664819683083,2.791719995363974,-0.16896225087418168,K,Neptune-Like,
nu Oph c,c,nu Oph,2012,Radial Velocity,HIDES Echelle Spectrograph,3180.6,8.54,5.829,90.0,2449885.9,0.179,,,,24.9,nu Oph,JD,JD,[Fe/H],,,,,175.47,12.0,,,,,,,,7838.32346,7838.32346,Mass,7530.308447051,4887.0,0.1,,3.21,1.895,2.64,0.65,2.61,,12.24,1,2,0,116.4302366,-10.0,-116.0,21.64,46.2107,126.0,-0.19648842319947682,-44.90222365625105,10.916982069856013,K,Gas Giants,
75 Cet b,b,75 Cet,2012,Radial Velocity,HIDES Echelle Spectrograph,696.62,-157.6,1.912,,2455056.9,0.093,,,,1.84,75 Cet,JD,JD,[Fe/H],,,,,36.92,13.3,,,,,,,,,787.89662,Msini,787.896620953,4809.0,0.1,-6.21,1.77,1.714,2.69,,1.92,,10.38,2,2,0,38.5643962,-23.6193,-30.4851,12.0264,82.9613,23.0,65.33193913121924,46.29420127654398,-21.70626534463025,G,Gas Giants,
gam Lib b,b,gam Lib,2018,Radial Velocity,HIDES Echelle Spectrograph,414.88,-169.7,1.319,,2455020.3,0.16,,,,0.765,gam Lib,JD,JD,[Fe/H],,,,,21.17,13.7,,,,,,,,,357.87479,Msini,357.874786282,4879.0,-0.27,,1.55,1.897,2.5,2.82,1.78,,12.38,1,2,0,64.5845688,63.8236,9.88507,21.0823,47.4017,27.8,-27.01796447236797,-38.778983358407686,3.625080460927887,K,Gas Giants,
HD 113337 c,c,HD 113337,2022,Radial Velocity,Multiple Instruments,5429.93477,20.215,6.805,57.478,2450201.306,0.164,,,,19.5,HD 113337,BJD,BJD,[M/H],,,,,154.581,12.1,,,,,,,,6299.676855147,6299.67686,Mass,,6667.33,0.07,-15.7,6.3,0.62,4.21,0.15,1.41,0.56519,1.53,1,2,0,175.2556737,-173.487,24.8357,27.6107,36.18,188.0,-15.499794911230238,8.963977268808721,31.43876379939392,F,Gas Giants,
HD 28109 c,c,HD 28109,2022,Transit,TESS CCD Array,56.00819,,0.308,89.543,,0.1203,585.2,,29.95,0.577,HD 28109,BJD,BJD,[Fe/H],,,0.0834,8.973,,4.23,0.02632,,,,,0.365,,7.943,7.943,Mass,,6120.0,0.0,,7.7,0.456,4.13,1.1,1.26,0.62114,1.45,1,3,0,24.36023,22.0284,-10.4005,7.13389,139.611,2.21,21.807484608249226,-8.150430453822777,-137.6562218698391,F,Neptune-Like,0.20742397741595298
HIP 12961 b,b,HIP 12961,2010,Radial Velocity,HARPS Spectrograph,57.435,272.0,0.25,,,0.17,,,,0.273,HIP 12961,,,[Fe/H],,,,,24.7,13.2,,,,,,,,,114.4188,Msini,114.4188,3901.0,-0.14,,,-1.003,4.65,,0.69,3.02935,0.65,1,1,0,326.883283,294.923,140.972,42.7591,23.371,10.7,16.057235342243025,9.471496539041809,-14.094665213290465,M,Gas Giants,
HD 11755 b,b,HD 11755,2015,Radial Velocity,BOES Echelle Spectrograph,433.70001,155.3,1.09,,2457018.2,0.19,,,,4.69,HD 11755,JD,,[Fe/H],,,,,191.3,12.8,,,,,,,,,1789.3829,Msini,1789.3829,4312.0,-0.74,-86.72,2.3,2.169,1.67,10.2,0.72,,20.58,1,1,0,81.4679756,-57.7787,-57.4339,4.22586,235.045,4.64,59.177686377371636,120.4530644294893,192.96427837702691,G,Gas Giants,
HD 29985 b,b,HD 29985,2022,Radial Velocity,Multiple Instruments,20608.14049,89.414,13.39,52.658,2438955.537,0.261,,,,4.56,HD 29985,BJD,BJD,[M/H],,,,,40.318,12.8,,,,,,,,1739.474871511,1739.47487,Mass,,4678.0,-0.22,,,-0.846,4.79,,0.75,5.57159,0.57,1,1,0,295.521308,-37.7445,-293.101,31.9499,31.2707,428.0,8.65363402076256,15.502827514759728,-25.741671192296536,Unknown,Gas Giants,
HD 115954 b,b,HD 115954,2021,Radial Velocity,SOPHIE Spectrograph,3700.0,185.6,5.0,79.0,2456131.0,0.487,144.9,,0.06,7.38,HD 115954,BJD,BJD,[Fe/H],,,,,110.7,12.6,,903.0,,,,,,2685.65003915,2685.65004,Mass,2634.79749403,5957.0,0.34,,5.3,0.481,4.15,,1.18,0.30161,1.21,1,1,0,77.7926177,-74.7571,21.519,11.381,87.6437,57.0,-64.57706354196726,0.09700805342333042,59.25547741284592,G,Gas Giants,0.12996853363926741
HIP 97233 b,b,HIP 97233,2014,Radial Velocity,Multiple Instruments,1062.26506,249.249,2.491,86.083,2454786.725,0.63,,,,18.9,HIP 97233,BJD,BJD,[Fe/H],,,,,328.305,12.1,,,,,,,,6098.173645109,6098.17365,Mass,6356.3,5020.0,0.29,-63.46,2.2,1.204,3.26,,1.81,,5.34,1,1,0,63.5693214,33.1519,-54.2403,9.74888,102.275,24.4,45.501361015509005,-84.52509414520354,35.28895337752022,K,Gas Giants,
HD 95872 b,b,HD 95872,2015,Radial Velocity,Multiple Instruments,4375.0,17.0,5.15,,2449869.0,0.06,,,,2.97,HD 95872,JD,,[Fe/H],,,,,59.0,13.0,,,,,,,,,1188.6842,Msini,1188.6842,5312.0,0.41,1.72,,-0.242,4.43,10.0,0.7,1.52053,0.84,1,1,0,263.0130374,-250.469,-80.2567,13.8178,72.2195,71.3,-64.89035581650147,4.186786194759846,-31.42242389786634,K,Gas Giants,
OGLE-2015-BLG-0966L b,b,OGLE-2015-BLG-0966L,2016,Microlensing,OGLE CCD Array,,,2.7,,,,,,,1.01,OGLE-2015-BLG-0966L,,,,,,,,,4.86,,,,,,,,21.0,21.0,Mass,,,,,,,,,0.38,,,1,1,0,,,,,3300.0,0.818,-62.72061579722521,-3283.5807815801595,-322.743513012184,Unknown,Neptune-Like,
Kepler-435 b,b,Kepler-435,2015,Transit,Kepler CCD Array,8.6001536,104.0,0.0948,85.51,,0.114,1729.0,,677.92,0.131,Kepler-435,BJD,BJD,[Fe/H],,,0.45102,9.003,64.0,22.31,0.06384,6.35,,,,0.448,,266.97,266.97,Mass,,6161.0,-0.18,-26.37,6.0,1.129,3.61,2.25,1.54,0.066,3.21,1,1,0,3.6932002,2.26529,-2.91688,0.676165,1418.77,0.0668,392.2207978457877,-491.76608548608164,1271.706442463397,Unknown,Gas Giants,0.04347544442853857
Teegarden's Star c,c,Teegarden's Star,2019,Radial Velocity,CARMENES,11.416,301.0,0.0455,,2458053.2,0.04,209.0,,0.35,5.44,Teegarden's Star,BJD,,[Fe/H],96.2,,,,1.43,1.02,,,,,,,,,1.05,Msini,1.05,3034.0,-0.11,,2.0,-3.141,5.19,8.0,0.1,79.80688,0.12,1,3,0,5123.3319204,3429.53,-3806.16,261.015,3.83078,11.9,2.669571537731118,2.747336507861605,0.020132707386602316,M,Super-Earth,0.6594692035846517
TOI-1470 b,b,TOI-1470,2023,Transit,TESS CCD Array,2.527093,,0.0285,87.42,,0.3,734.0,,46.3,3.86,TOI-1470,BJD,BJD,[Fe/H],29.0,,0.1814,1.28,5.67,2.18,0.0426,13.05,,,,0.59,,7.32,7.32,Mass,,3709.0,0.0,,2.0,-1.425,4.77,1.3,0.47,5.84604,0.47,1,2,0,73.832396,48.5759,-55.6022,19.2202,51.9503,0.549,24.6312646843289,22.13000697927441,40.0299545495345,M,Super-Earth,0.2737377817816026
HD 97658 b,b,HD 97658,2010,Radial Velocity,HIRES Spectrometer,9.4897116,-10.0,0.0805,89.05,,0.05,751.0,,41.92,4.8,HD 97658,BJD,BJD,[Fe/H],,,0.0712,2.8488,2.8,2.12,0.0267,24.2,,-4.92,,0.39,7.86036215070866,8.3,8.3,Mass,7.8503616529,5212.0,-0.23,-1.39,0.5,-0.455,4.64,3.9,0.85,3.1,0.73,1,1,0,118.0319107,-107.534,48.6618,46.3494,21.5618,3.73,-19.04586951311146,7.233683200674937,7.05973803209473,K,Super-Earth,0.27963989937795986
LTT 3780 b,b,LTT 3780,2020,Transit,TESS CCD Array,0.76837931,90.0,0.01195,86.1,,0.0,903.0,,111.0,5.8,LTT 3780,BJD,BJD,[Fe/H],104.0,,0.1032,0.7883,3.24,1.325,0.03212,6.79,,,,0.462,,2.46,2.46,Mass,,3358.0,0.06,0.27,3.0,-1.783,4.85,3.1,0.38,9.78419,0.38,2,2,0,421.9000381,-341.409,-247.87,45.4644,21.9814,0.544,-19.449537998643695,6.681847415139705,-7.762108780486516,M,Super-Earth,0.29852141050809955
TOI-5799 b,b,TOI-5799,2024,Transit,TESS CCD Array,4.164753,,0.0352,88.67,,,518.01,,11.91,4.19,TOI-5799,BJD,BJD,[Fe/H],,,0.206,1.42,,1.625,0.045,20.31,,,,0.48,,,3.27,M-R relationship,,3514.0,-0.08,,,-1.83,4.93,7.0,0.34,13.4,0.33,1,1,0,301.977276,177.635,244.205,35.9264,27.8123,1.27,14.020260688394696,-17.839754728060406,16.084137302388978,Unknown,Super-Earth,0.3791732123182475
TOI-2068 b,b,TOI-2068,2024,Transit,TESS CCD Array,7.768915,,0.0632,89.01,,,520.62,,12.23,3.61,TOI-2068,BJD,BJD,[Fe/H],,,0.097,2.06,,1.821,0.031,26.11,,,,0.46,,,3.97,M-R relationship,,3710.0,0.27,,,-1.311,4.73,7.0,0.56,5.15,0.54,1,1,0,197.9770221,-197.88,-6.19733,18.8629,52.9328,1.19,-25.973436866839002,15.692840184137584,43.37045838032434,Unknown,Super-Earth,0.36548875124028124
TOI-2180 b,b,TOI-2180,2022,Transit,TESS CCD Array,260.79,-43.8,0.828,89.955,2458760.7,0.3683,348.0,,2.71,3.32,TOI-2180,BJD-TDB,BJD-TDB,[Fe/H],,,0.474796,24.096,87.75,11.321,,,,,,0.1,,875.617261285,875.61726,Mass,,5695.0,0.253,,2.2,0.406,4.06,8.1,1.11,0.359,1.64,1,1,0,41.5619434,-10.5361,-40.2043,8.54116,116.685,7.1,8.863686682818688,-19.517564564028614,114.69912360989424,G,Gas Giants,0.3239289119408957
TOI-1899 b,b,TOI-1899,2020,Transit,TESS CCD Array,29.090312,-53.0,0.1525,89.64,2458705.37,0.044,378.0,,3.4,0.85,TOI-1899,BJD-TDB,BJD-TDB,[Fe/H],,,3.756233,4.7,59.82,11.097,0.168,54.01,,,,0.35,,212.94503269,212.94503,Mass,,3926.0,0.28,-28.95,2.0,-1.057,4.67,7.1,0.63,3.98,0.61,1,1,0,40.1192136,35.4269,18.8278,7.75689,128.438,1.19,48.235107720407996,-45.5243255528943,109.98740841639432,M,Gas Giants,0.2949488467322191
HD 22946 d,d,HD 22946,2023,Transit,TESS CCD Array,47.42489,,0.2958,,,,546.0,,18.56,10.8,HD 22946,BJD-TDB,BJD-TDB,[Fe/H],,,,6.482,4.31,2.607,0.02141,57.0,,,,0.456,,26.57,26.57,Mass,,6169.0,-0.08,,,0.209,4.47,2.5,1.1,1.1,1.12,1,3,0,122.0961548,-51.6637,-110.627,15.8999,62.7792,4.71,26.55638540467819,17.606024033625264,-54.09264519882167,F,Super-Earth,0.29132293565410894
Qatar-3 b,b,Qatar-3,2017,Transit,FLI ProLine 4K CCD Sensor,2.5079204,,0.03783,86.8,,0.0,1681.0,,1330.0,4.0,Qatar-3,BJD-TDB,BJD-TDB,[Fe/H],6.31,,0.789,3.1104,587.0,12.285,0.0888,6.39,,,,0.35,,1369.8473,1369.8473,Mass,,6007.0,-0.041,6.04,10.2,0.279,4.29,0.31,1.15,0.78,1.27,1,1,0,11.4994338,-7.76313,-8.48356,1.33157,735.601,0.0514,593.4486817373177,164.76841505111636,402.217432176656,G,Gas Giants,0.07302385185458515
WASP-159 b,b,WASP-159,2018,Transit,iKon-L CCD Camera,3.840401,,0.0538,88.1,,0.0,1850.0,,1599.92,0.28,WASP-159,HJD-UTC,HJD-UTC,,,,0.453,5.5872,57.0,15.468,0.0673,5.44,,,,0.18,,174.8065,174.8065,Mass,,6120.0,0.22,35.16,5.7,0.678,3.94,3.4,1.41,0.21,2.11,1,1,0,5.4963688,-0.767139,5.44257,1.36892,715.383,0.0752,207.14924840919406,294.63151223991343,-618.1054097544591,F,Gas Giants,0.05942644667717878
WASP-7 b,b,WASP-7,2008,Transit,iKon-L CCD Camera,4.9546416,109.0,0.0617,87.03,,0.034,1487.0,,612.69,0.55,WASP-7,BJD-TDB,BJD-TDB,[Fe/H],,86.0,0.7357,3.639,97.0,14.908,0.0956,9.074,,,,0.53,,305.1168,305.1168,Mass,,6400.0,0.0,-29.85,17.0,0.537,4.23,2.4,1.28,0.611,1.43,1,1,0,64.9452766,30.4679,-57.355,6.13303,162.303,0.38,82.5485641335955,-127.83505833522362,-56.44640138141352,Unknown,Gas Giants,0.06248917127375431
HD 219134 g,g,HD 219134,2015,Radial Velocity,Multiple Instruments,94.2,0.0,0.3753,,2449972.0,0.0,,,,1.68,HD 219134,,,[Fe/H],,,,,1.8,3.28,,,,,,,,,10.80622,Msini,10.80622,4913.0,0.08,-18.42,0.4,-0.509,4.51,12.46,0.79,2.43759,0.77,1,6,0,2095.3807469,2074.52,294.936,153.081,6.53127,57.5,3.4679506304086156,1.5260605073215812,5.319957289860689,K,Super-Earth,
tau Cet e,e,tau Cet,2017,Radial Velocity,Multiple Instruments,162.87,22.35,0.538,,,0.18,,,,3.64,tau Cet,,,[Fe/H],34.5,,,,0.55,1.81,,,,-4.96,,,,,3.93,Msini,3.93,5310.0,-0.52,-17.1,1.8,-0.305,4.52,12.12,0.78,2.24358,0.83,1,4,0,1929.7238523,-1729.73,855.493,277.516,3.60304,149.0,3.11372354519143,1.0004686400771134,-1.5118483475344877,G,Super-Earth,
K2-322 b,b,K2-322,2020,Transit,Kepler CCD Array,8.205,,0.0594,88.15,,,635.0,,,3.38,K2-322,BJD,BJD,,,,0.071,,,1.92,,,,,,0.68,,,4.35,M-R relationship,,4141.0,,4.18,,-1.039,4.68,,0.63,3.57867,0.6,1,1,0,16.5163291,-16.3044,-2.63736,8.07382,123.415,0.481,-112.88942801886523,48.857863740479395,-10.007418113089797,Unknown,Super-Earth,
K2-293 b,b,K2-293,2019,Transit,Kepler CCD Array,13.1225,,,88.8,,,750.0,,,2.45,K2-293,BJD-TDB,BJD-TDB,[M/H],,,,3.98,,2.45,0.0228,22.9,,,,0.47,,,6.57,M-R relationship,,5532.0,0.218,,,-0.18,4.52,,0.96,1.68821,0.95,1,1,0,33.1908207,31.8313,-9.40207,2.52119,392.251,,385.89934279692704,-68.65304869310118,-15.142758501753903,Unknown,Super-Earth,
K2-214 b,b,K2-214,2018,Transit,Kepler CCD Array,8.596802,,0.0834,88.145,,,1006.0,,,2.48,K2-214,BJD,BJD,[Fe/H],,,0.04,3.7296,,2.43,0.0176,16.18,,,,0.39,,,6.48,M-R relationship,,5854.0,0.05,-17.07,,0.196,4.25,,1.05,1.08,1.27,1,1,0,30.8225303,-25.3227,-17.5724,3.29796,300.64,0.277,289.7783827748637,79.41759969135451,-10.28315786363087,Unknown,Super-Earth,
K2-121 b,b,K2-121,2017,Transit,Kepler CCD Array,5.1857539,72.97,0.0629,89.027,,0.22,738.0,,89.5,0.57,K2-121,BJD,BJD,[Fe/H],,,1.3112,2.0304,,7.52,0.1028,20.19,,,,0.34,,,44.1,M-R relationship,,4690.0,-0.16,30.15,,-0.745,4.63,,0.69,6.532,0.67,1,1,0,20.2195641,-13.8705,-14.7119,5.87462,169.398,0.371,-97.03334878449799,138.78337628372688,-4.402964337289175,Unknown,Neptune-Like,0.1219596741462241
K2-107 b,b,K2-107,2017,Transit,Kepler CCD Array,3.313959,,0.0475,82.361,,0.0,1649.0,,,0.35,K2-107,BJD,BJD,[Fe/H],,,0.6658,3.2232,95.5,15.98,0.081,6.42,,,,0.74,,266.9772,266.9772,Mass,,6061.0,0.14,-8.36,4.6,0.464,4.04,4.25,1.3,0.457,1.81,1,1,0,7.6809039,-6.2457,-4.47074,1.43244,685.2,0.0693,163.8855165383891,-665.2926422186691,5.126175830710255,F,Gas Giants,
K2-252 b,b,K2-252,2018,Transit,Kepler CCD Array,13.81513,,0.1041,,,,639.0,,,3.84,K2-252,BJD,BJD,[Fe/H],,,0.036,3.6,,1.74,0.0193,25.7,,,,0.41,,,3.68,M-R relationship,,5152.0,-0.09,13.72,2.2,-0.408,4.5,,0.79,2.04024,0.82,1,1,0,22.9167594,3.29667,-22.6784,4.34143,228.839,0.455,-226.2449181767169,-21.71807573494569,-26.62423907986559,Unknown,Super-Earth,
K2-85 b,b,K2-85,2016,Transit,Kepler CCD Array,0.684559,67.59,0.013,89.4,,0.24,,,479.0,5.95,K2-85,HJD,HJD,[Fe/H],,,0.04,0.8184,,1.2,0.0155,6.1,,,,,,,1.87,M-R relationship,,4427.0,-0.36,-3.94,,-0.812,4.3,,0.68,2.35191,0.68,1,1,0,116.4278937,94.0268,-68.6616,10.2574,97.2179,0.134,46.85608936269344,85.11552481228686,-3.3428140801228134,Unknown,Super-Earth,0.29291143037534006
K2-58 b,b,K2-58,2016,Transit,Kepler CCD Array,7.05254,,0.0692,88.855,,,,,118.0,2.18,K2-58,BJD-TDB,BJD-TDB,[Fe/H],,,0.103,1.899,,2.68,0.028,23.9,,,,0.53,,,7.65,M-R relationship,,5413.0,0.11,6.49,,-0.398,4.52,,0.89,2.00934,0.86,1,3,0,11.9689497,4.79816,-10.9651,5.47374,181.746,0.381,158.21841679479107,-88.92414006359424,-9.541405394387926,Unknown,Super-Earth,0.23348805656791205
K2-229 b,b,K2-229,2018,Transit,Kepler CCD Array,0.584216,,0.0131,89.7,,0.0,1818.0,,,8.9,K2-229,HJD,HJD,[Fe/H],18.1,,0.01625,1.5,2.2,1.0,0.0118,4.2,,,,0.38,,2.49,2.49,Mass,,5315.0,-0.09,,2.46,-0.389,4.6,5.4,0.87,2.38,0.79,1,2,0,81.2268036,-80.8859,7.43403,9.72291,102.564,0.128,-101.12810487926849,-15.951899698452571,-6.165824805991344,G,Terrestial,
K2-119 b,b,K2-119,2017,Transit,Kepler CCD Array,7.727283,-37.71,0.0698,89.4,,0.07,666.0,,54.9,2.35,K2-119,BJD,BJD,[Fe/H],,,0.1233,2.904,,2.53,0.0328,19.23,,,,0.41,,,6.94,M-R relationship,,4740.0,-0.05,,,-0.685,4.62,,0.76,2.251,0.71,1,1,0,37.4882237,30.032,-22.4376,2.70677,365.581,0.191,-234.08073984550623,280.75120280767146,-5.868297574782709,Unknown,Super-Earth,0.2524763040179522
K2-3 d,d,K2-3,2015,Transit,Kepler CCD Array,44.55603,0.0,0.2014,89.82,,0.091,305.2,,1.44,17.5,K2-3,BJD-TDB,BJD-TDB,[Fe/H],40.71,,0.0782,4.17,1.91,1.458,0.02449,79.4,,,,0.24,,2.2,2.2,Mass,,3844.0,-0.157,30.48,,-1.231,4.7,6.9,0.55,4.78,0.55,1,3,0,122.2623054,94.0337,-78.1392,22.661,44.0727,4.57,-43.66452259918228,4.949138277184147,-3.36428027798087,M,Super-Earth,0.8166463259564882
K2-192 b,b,K2-192,2018,Transit,Kepler CCD Array,4.162817,,0.049,88.392,,,939.0,,,4.57,K2-192,BJD,BJD,[Fe/H],,,0.0318,1.6176,,1.52,0.0171,17.64,,,,0.43,,,2.92,M-R relationship,,5222.0,0.15,0.95,,-0.36,4.57,,0.9,5.975,0.81,1,1,0,24.7652981,10.3824,-22.4839,4.48101,221.753,0.221,-194.2990873351428,-106.85458767018618,-2.0868070263081386,Unknown,Super-Earth,
K2-148 c,c,K2-148,2018,Transit,Kepler CCD Array,6.9226,,0.0616,,,,,,26.5,3.86,K2-148,BJD,BJD,[Fe/H],,,0.0537,2.0304,,1.73,0.0251,27.3,,,,,,,3.64,M-R relationship,,4079.0,-0.11,1.52,,-0.996,4.65,,0.65,2.94262,0.63,2,3,0,45.3227041,-38.6993,-23.5905,8.00615,124.458,0.495,120.48534965495713,28.449158639979906,-12.79529816768561,Unknown,Super-Earth,0.3176008942893219
K2-282 b,b,K2-282,2018,Transit,Kepler CCD Array,4.169783,,0.0499,90.1,,,1057.0,,,2.39,K2-282,HJD,HJD,[Fe/H],,,0.0935,2.7312,,2.5,0.0227,11.0,,,,0.4,,,6.8,M-R relationship,,5499.0,-0.23,,,-0.215,4.5,,0.95,1.442,1.0,1,2,0,32.432431,31.9004,-5.85039,1.98627,496.289,0.101,478.0300722507759,132.16973136374028,17.921597477755576,Unknown,Super-Earth,
K2-244 b,b,K2-244,2018,Transit,Kepler CCD Array,21.06884,,0.1418,89.214,,,638.0,,,3.8,K2-244,BJD,BJD,[Fe/H],,,0.03,3.9,,1.75,0.0174,38.3,,,,0.44,,,3.71,M-R relationship,,5677.0,-0.29,-19.25,3.69,-0.118,4.44,,0.86,2.1153,0.92,1,1,0,60.2007651,-56.8677,19.7534,4.66891,212.902,0.666,-212.03808714535592,-17.43691420918154,-7.94136175980481,Unknown,Super-Earth,
EPIC 212737443 c,c,EPIC 212737443,2019,Transit,Kepler CCD Array,65.55,,0.28,89.63,,0.2,316.0,,,2.17,EPIC 212737443,BJD,BJD,[Fe/H],,,0.11,4.608,,2.69,0.0366,91.172,,,,0.567,,,7.7,M-R relationship,,4684.0,-0.137,-16.0,,-0.804,4.62,,0.69,3.19,0.67,1,2,0,51.2703122,-46.2331,22.1618,2.94582,336.25,0.833,-304.16038722616344,-142.55378281856585,15.130774816494439,K,Super-Earth,
HD 100777 b,b,HD 100777,2007,Radial Velocity,HARPS Spectrograph,383.0,204.0,1.06,90.0,2454224.0,0.38,,,,0.835,HD 100777,BJD,BJD,[Fe/H],,,,,34.9,13.7,,,,-5.09,,,,390.92894061,390.92894,Mass,368.67,5533.0,-0.27,1.25,1.8,0.021,4.32,5.7,1.08,1.15933,1.04,1,1,0,37.1356607,-11.3533,35.3576,20.1596,49.5336,21.4,-49.08925888939679,3.1316856580508414,-5.832215324294633,G,Gas Giants,
K2-273 b,b,K2-273,2018,Transit,Kepler CCD Array,11.7195663,,0.0729,90.0,,,849.0,,,1.85,K2-273,BJD,BJD,[Fe/H],,,0.1434,4.872,,3.05,0.0327,18.49,,,,0.37,,,9.53,M-R relationship,,5161.0,0.2,,,-0.353,4.53,,0.89,0.037,0.85,1,1,0,32.8612984,-32.4197,-5.36917,3.217,308.105,0.237,-186.35805075154772,245.33694276950717,3.025302893122586,Unknown,Super-Earth,
CI Tau c,c,CI Tau,2024,Radial Velocity,Multiple Instruments,25.2,344.0,0.17,,2458821.9,0.58,,,,2.86,CI Tau,JD,JD,,,,,,300.0,13.0,,,,,,,,,1144.18227,Msini,1144.1822652,3807.0,,18.0,,-0.255,,0.003,0.9,,1.88,1,1,0,19.2503713,8.90416,-17.0673,6.30079,157.998,1.08,53.45412128821789,148.6616683158208,2.394429965852344,K,Gas Giants,
V1298 Tau d,d,V1298 Tau,2019,Transit,Kepler CCD Array,12.4032,88.0,0.1083,89.04,,0.21,845.0,,85.0,2.4,V1298 Tau,BJD,BJD,[Fe/H],2.87,,,5.59,25.0,6.41,0.0436,17.31,,,,0.29,,98.52680617,98.52681,Mass,,5050.0,0.1,16.15,23.8,-0.02,4.23,0.023,1.1,0.679,1.34,3,4,0,16.9054651,5.22793,-16.0768,9.21392,108.199,1.0,48.73455809573397,96.59411988853412,-1.241954577683123,K,Neptune-Like,0.13771607471000014
K2-419 A b,b,K2-419 A,2024,Transit,Kepler CCD Array,20.35847252,0.97,0.1208,89.54,,0.042,377.0,,3.3,0.916,K2-419,BJD-TDB,BJD-TDB,[Fe/H],,,3.912,3.574,67.0,10.55,0.1805,48.46,,,,0.389,,196.0,196.0,Mass,,3711.0,-0.11,,2.0,-1.277,4.74,7.4,0.56,4.99,0.54,2,1,0,76.6689623,-71.7357,-27.0577,3.69372,268.685,0.45,-184.96311241107247,194.14862466735732,-16.928904630323004,Unknown,Gas Giants,0.30366506113627845
